n_size,option,measurement_unit,mean
100000,Compressed Vector Downsample - dac_vector,kilobytes,175.8154296875
100000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,175.8154296875
100000,Original Data,kilobytes,6448.1123046875
100000,TS Downsample,kilobytes,173.2451171875
12000,Compressed Vector Downsample - dac_vector,kilobytes,163.8310546875
12000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,163.8310546875
12000,Original Data,kilobytes,776.2373046875
12000,TS Downsample,kilobytes,161.3154296875
20000,Compressed Vector Downsample - dac_vector,kilobytes,166.4404296875
20000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,166.4404296875
20000,Original Data,kilobytes,1291.8623046875
20000,TS Downsample,kilobytes,163.8701171875
300000,Compressed Vector Downsample - dac_vector,kilobytes,189.7685546875
300000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,175.8154296875
300000,Original Data,kilobytes,19338.7373046875
300000,TS Downsample,kilobytes,173.2451171875
6000,Compressed Vector Downsample - dac_vector,kilobytes,160.5498046875
6000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,160.5498046875
6000,Original Data,kilobytes,389.5185546875
6000,TS Downsample,kilobytes,159.4404296875
70000,Compressed Vector Downsample - dac_vector,kilobytes,175.8154296875
70000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,175.8154296875
70000,Original Data,kilobytes,4514.5185546875
70000,TS Downsample,kilobytes,173.2451171875
